City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Dafeng,23.4517,108.5881,29.05,69,54,0.95,CN,1663501710
1,Nuuk,64.1835,-51.7216,10.34,66,40,2.57,GL,1663501711
2,Airai,-8.9266,125.4092,16.52,71,90,0.78,TL,1663501712
3,Arraial Do Cabo,-22.9661,-42.0278,18.92,82,40,3.6,BR,1663501714
4,Te Anau,-45.4167,167.7167,5.22,93,100,1.16,NZ,1663501715
5,Lourdes,43.1,-0.05,22.71,35,0,2.57,FR,1663501716
6,Kapustin Yar,48.5831,45.7372,30.65,34,93,6.19,RU,1663501718
7,Carutapera,-1.195,-46.02,28.96,65,24,4.49,BR,1663501719
8,Puerto Ayora,-0.7393,-90.3518,19.19,91,66,2.24,EC,1663501721
9,Vaini,-21.2,-175.2,23.09,83,40,5.14,TO,1663501722
10,Hofn,64.2539,-15.2082,7.43,76,98,0.24,IS,1663501723
11,Karasjok,69.4719,25.5112,5.38,96,100,4.97,NO,1663501725
12,Rikitea,-23.1203,-134.9692,21.87,64,38,8.01,PF,1663501726
13,Bredasdorp,-34.5322,20.0403,14.92,64,89,6.55,ZA,1663501727
14,Aklavik,68.2191,-135.0107,6.65,74,87,2.24,CA,1663501728
15,Ilulissat,69.2167,-51.1,5.01,93,100,5.14,GL,1663501730
16,Kodiak,57.79,-152.4072,8.73,81,0,3.09,US,1663501731
17,Kruisfontein,-34.0033,24.7314,14.94,90,100,5.15,ZA,1663501732
18,Atar,20.5169,-13.0499,32.63,27,82,3.95,MR,1663501733
19,Abu Samrah,35.3029,37.1841,36.53,12,0,4.86,SY,1663501735
20,Eravur,7.7733,81.6095,28.27,74,86,4.82,LK,1663501736
21,Kapaa,22.0752,-159.319,26.18,84,20,5.14,US,1663501737
22,Prince Rupert,54.3161,-130.3201,10.83,98,0,2.57,CA,1663501738
23,Khatanga,71.9667,102.5,-2.29,78,13,3.95,RU,1663501740
24,Peniche,39.3558,-9.3811,28.38,65,77,1.79,PT,1663501741
25,Barrow,71.2906,-156.7887,0.01,100,100,8.75,US,1663501742
26,Bom Jesus,-9.0744,-44.3586,31.42,29,6,5.26,BR,1663501743
27,Caravelas,-17.7125,-39.2481,20.59,80,100,3.46,BR,1663501745
28,Sungaipenuh,-2.0833,101.3833,18.71,98,100,0.65,ID,1663501746
29,Atuona,-9.8,-139.0333,24.6,77,19,10.7,PF,1663501748
30,Erenhot,43.6475,111.9767,15.47,25,88,5.8,CN,1663501749
31,Mataura,-46.1927,168.8643,8.04,95,98,1.82,NZ,1663501750
32,Santa Ana Arriba,19.3,-70.35,25.57,80,86,1.45,DO,1663501752
33,Upernavik,72.7868,-56.1549,2.95,72,100,5.06,GL,1663501753
34,San Quintin,30.4833,-115.95,18.83,81,67,3.45,MX,1663501755
35,Ullapool,57.8987,-5.1604,14.08,79,98,2.37,GB,1663501757
36,Kenai,60.5544,-151.2583,11.05,80,0,5.14,US,1663501759
37,Mar Del Plata,-38.0023,-57.5575,15.61,95,100,4.47,AR,1663501760
38,Saint-Philippe,-21.3585,55.7679,25.77,78,9,6.44,RE,1663501762
39,Port Elizabeth,-33.918,25.5701,16.17,91,75,5.14,ZA,1663501763
40,East London,-33.0153,27.9116,16.52,94,100,6.17,ZA,1663501764
41,Stykkisholmur,65.0757,-22.7297,10.66,68,40,2.47,IS,1663501765
42,Bluff,-46.6,168.3333,8.22,84,99,3.97,NZ,1663501767
43,Hauterive,46.0901,3.4459,17.42,32,0,2.16,FR,1663501769
44,Trairi,-3.2778,-39.2689,29.45,59,43,6.34,BR,1663501770
45,Yellowknife,62.456,-114.3525,6.29,100,75,2.57,CA,1663501772
46,Rampura,30.25,75.2333,33.35,46,0,2.8,IN,1663501773
47,Avarua,-21.2078,-159.775,22.03,94,75,1.03,CK,1663501774
48,Leningradskiy,69.3833,178.4167,0.57,97,100,10.31,RU,1663501776
49,Punta Arenas,-53.15,-70.9167,0.06,86,0,3.09,CL,1663501777
50,Fortuna,40.5982,-124.1573,13.32,90,100,2.11,US,1663501778
51,Albany,42.6001,-73.9662,17.93,93,41,1.22,US,1663501779
52,El Dorado,38.7666,-120.5177,13.13,92,89,0.86,US,1663501781
53,Erdenet,49.0333,104.0833,3.89,61,11,0.9,MN,1663501782
54,San Policarpo,12.1791,125.5072,27.16,80,100,1.88,PH,1663501784
55,Ushuaia,-54.8,-68.3,2.81,65,0,2.57,AR,1663501785
56,Hithadhoo,-0.6,73.0833,28.13,71,46,3.4,MV,1663501786
57,Qaanaaq,77.484,-69.3632,-4.9,55,0,3.42,GL,1663501787
58,Byron Bay,-28.65,153.6167,16.98,56,63,3.44,AU,1663501789
59,Saint George,37.1041,-113.5841,22.36,50,0,5.14,US,1663501790
60,Esperance,-33.8667,121.9,12.55,87,59,2.68,AU,1663501792
61,Lethem,3.3803,-59.7968,26.83,77,67,3.35,GY,1663501793
62,Hanzhong,33.0728,107.0303,22.68,87,95,1.24,CN,1663501794
63,Gigmoto,13.7796,124.39,27.58,82,99,2.29,PH,1663501796
64,Hammerfest,70.6634,23.6821,7.25,93,75,7.2,NO,1663501797
65,Myitkyina,25.3833,97.4,26.85,89,28,0.85,MM,1663501798
66,Imeni Babushkina,59.7573,43.1285,15.15,58,55,4.04,RU,1663501800
67,Kargil,34.5667,76.1,16.79,15,5,1.41,IN,1663501801
68,Busselton,-33.65,115.3333,12.48,78,47,4.79,AU,1663501802
69,Dikson,73.5069,80.5464,0.29,78,16,9.04,RU,1663501803
70,Grootfontein,-19.5667,18.1167,31.76,12,0,1.54,NA,1663501805
71,Chapais,49.7834,-74.8492,4.88,66,94,2.82,CA,1663501806
72,Grand-Santi,4.25,-54.3833,25.63,83,76,1.6,GF,1663501807
73,Caucaia,-3.7361,-38.6531,25.97,78,75,6.69,BR,1663501808
74,Victoria,22.2855,114.1577,30.74,87,85,2.68,HK,1663501809
75,Longyearbyen,78.2186,15.6401,-0.09,74,75,4.12,SJ,1663501811
76,Umm Kaddadah,13.6017,26.6876,34.12,31,94,1.23,SD,1663501812
77,Hobart,-42.8794,147.3294,10.92,78,75,3.6,AU,1663501813
78,Fort Frances,48.5999,-93.4003,14.12,94,100,2.06,CA,1663501815
79,Port Alfred,-33.5906,26.891,16.21,88,100,1.34,ZA,1663501817
80,Cidreira,-30.1811,-50.2056,16.95,69,86,6.44,BR,1663501818
81,Lebu,-37.6167,-73.65,6.29,67,7,1.66,CL,1663501819
82,Cabo San Lucas,22.8909,-109.9124,25.9,83,60,1.92,MX,1663501820
83,Waingapu,-9.6567,120.2641,26.33,81,91,0.98,ID,1663501822
84,Ribeira Grande,38.5167,-28.7,25.22,83,20,4.63,PT,1663501823
85,Igrim,63.1906,64.4162,13.07,71,67,7.37,RU,1663501824
86,Simao,22.7886,100.9748,21.64,80,99,1.27,CN,1663501825
87,Tibagi,-24.5094,-50.4136,15.33,58,0,3.26,BR,1663501828
88,North Bend,43.4065,-124.2243,12.73,97,100,0.0,US,1663501829
89,Itarema,-2.9248,-39.9167,29.28,61,67,7.0,BR,1663501830
90,Benalla,-36.55,145.9833,9.92,97,100,3.01,AU,1663501831
91,Severo-Kurilsk,50.6789,156.125,9.3,73,98,3.88,RU,1663501832
92,Cabedelo,-6.9811,-34.8339,26.37,74,43,6.58,BR,1663501834
93,Lensk,60.7253,114.9278,0.22,63,52,2.45,RU,1663501835
94,Talnakh,69.4865,88.3972,2.28,100,100,2.92,RU,1663501836
95,Oranjemund,-28.55,16.4333,14.89,64,100,7.82,NA,1663501838
96,Cape Town,-33.9258,18.4232,17.28,58,20,8.23,ZA,1663501840
97,Hermanus,-34.4187,19.2345,16.0,68,62,7.35,ZA,1663501841
98,Douentza,14.9951,-2.9517,34.44,39,7,2.8,ML,1663501842
99,Hilo,19.7297,-155.09,25.71,91,100,3.09,US,1663501844
100,Sola,-13.8833,167.55,26.84,79,97,9.96,VU,1663501846
101,Moranbah,-22.0016,148.0466,25.42,62,30,2.85,AU,1663501847
102,Cachoeira Do Sul,-30.0392,-52.8939,14.85,63,96,4.24,BR,1663501848
103,Tasiilaq,65.6145,-37.6368,4.12,95,100,7.51,GL,1663501850
104,Coquimbo,-29.9533,-71.3436,8.85,87,0,1.54,CL,1663501851
105,Kaduqli,11.0167,29.7167,31.15,51,40,0.65,SD,1663501853
106,Tarata,-17.6167,-66.0167,17.6,51,18,1.94,BO,1663501854
107,Bria,6.5423,21.9863,24.05,81,99,2.6,CF,1663501856
108,Sinnamary,5.3833,-52.95,28.07,73,39,4.76,GF,1663501857
109,Kaitangata,-46.2817,169.8464,6.55,95,87,3.17,NZ,1663501858
110,Namatanai,-3.6667,152.4333,26.43,84,81,3.37,PG,1663501859
111,Constitucion,-35.3333,-72.4167,7.12,77,22,3.58,CL,1663501860
112,Klaksvik,62.2266,-6.589,9.51,68,86,2.9,FO,1663501862
113,Clyde River,70.4692,-68.5914,0.13,100,100,2.06,CA,1663501863
114,Bathsheba,13.2167,-59.5167,27.34,83,40,6.17,BB,1663501888
115,Yulara,-25.2406,130.9889,22.02,19,0,2.5,AU,1663501890
116,Tura,25.5198,90.2201,25.19,93,88,0.8,IN,1663501891
117,Mareeba,-17.0,145.4333,23.6,90,1,1.94,AU,1663501892
118,Pisco,-13.7,-76.2167,14.03,88,75,1.54,PE,1663501894
119,Hobyo,5.3505,48.5268,27.96,65,69,12.19,SO,1663501896
120,Bengkulu,-3.8004,102.2655,24.87,87,99,2.33,ID,1663501897
121,Huarmey,-10.0681,-78.1522,16.57,89,89,3.48,PE,1663501899
122,Port Hedland,-20.3167,118.5667,23.03,73,8,4.12,AU,1663501900
123,Chokurdakh,70.6333,147.9167,1.43,68,92,2.5,RU,1663501902
124,Adrar,20.5022,-10.0711,31.97,24,57,4.21,MR,1663501904
125,Paulinia,-22.7611,-47.1542,15.52,43,0,3.36,BR,1663501905
126,Uvat,59.1433,68.8953,14.14,93,100,5.2,RU,1663501906
127,Concordia,-31.393,-58.0209,15.99,78,100,4.02,AR,1663501908
128,Bambous Virieux,-20.3428,57.7575,24.14,69,75,6.69,MU,1663501910
129,Matara,5.9485,80.5353,27.3,77,100,4.96,LK,1663501911
130,Dongsheng,39.8161,109.9776,20.02,33,68,4.17,CN,1663501912
131,Raudeberg,61.9875,5.1352,11.37,71,88,10.94,NO,1663501914
132,Tiksi,71.6872,128.8694,0.56,72,95,1.41,RU,1663501915
133,Tshikapa,-6.4167,20.8,30.45,48,93,2.83,CD,1663501916
134,Kutum,14.2,24.6667,30.94,29,82,4.63,SD,1663501918
135,Vardo,70.3705,31.1107,8.99,93,100,5.66,NO,1663501919
136,Galle,6.0367,80.217,27.07,79,100,4.6,LK,1663501920
137,Balykshi,47.0667,51.8667,31.0,23,0,8.0,KZ,1663501922
138,Phu Ly,20.5411,105.9139,26.95,85,56,2.45,VN,1663501923
139,Cherskiy,68.75,161.3,0.17,69,96,4.06,RU,1663501924
140,Rorvik,64.8621,11.2373,11.06,87,75,5.66,NO,1663501926
141,Kanniyakumari,8.0833,77.5667,27.73,77,93,10.42,IN,1663501927
142,Northam,51.0333,-4.2167,16.45,63,19,3.92,GB,1663501929
143,Mecca,21.4267,39.8261,40.6,14,23,6.06,SA,1663501930
144,Kupang,-10.1667,123.5833,25.95,83,29,3.97,ID,1663501932
145,Narsaq,60.9167,-46.05,14.12,68,99,2.42,GL,1663501933
146,Tuktoyaktuk,69.4541,-133.0374,6.25,82,31,7.15,CA,1663501934
147,Ponta Do Sol,32.6667,-17.1,25.4,87,14,1.97,PT,1663501936
148,Nabinagar,23.8917,90.9733,31.07,73,90,1.75,BD,1663501938
149,Georgetown,5.4112,100.3354,28.86,78,20,2.68,MY,1663501939
150,Tessalit,20.1986,1.0114,38.68,21,46,4.57,ML,1663501941
151,Grindavik,63.8424,-22.4338,10.97,87,75,11.83,IS,1663501942
152,General Roca,-39.0333,-67.5833,4.23,85,100,8.89,AR,1663501943
153,Xiongzhou,25.1167,114.3,28.87,52,82,2.13,CN,1663501945
154,Bilibino,68.0546,166.4372,-1.72,85,99,1.01,RU,1663501946
155,Caruray,10.3094,119.0128,26.41,87,87,3.03,PH,1663501947
156,Menongue,-14.6585,17.691,36.41,7,0,1.42,AO,1663501948
157,Bajram Curri,42.3554,20.0784,17.0,59,81,1.44,AL,1663501950
158,Salinas,36.6777,-121.6555,16.95,73,0,4.63,US,1663501951
159,Kintampo,8.0563,-1.7306,24.51,80,98,2.67,GH,1663501952
160,Cassilandia,-19.1133,-51.7342,24.07,32,0,3.47,BR,1663501954
161,Ukiah,39.1502,-123.2078,14.13,92,100,0.0,US,1663501956
162,Mato Verde,-15.3972,-42.8664,23.18,57,96,4.34,BR,1663501957
163,Tuatapere,-46.1333,167.6833,8.98,85,100,2.47,NZ,1663501960
164,Kayes,14.0,-11.0,27.18,72,100,3.72,ML,1663501961
165,San Patricio,28.017,-97.5169,31.02,80,1,2.28,US,1663501963
166,Srandakan,-7.9386,110.2506,25.21,81,56,2.85,ID,1663501964
167,Setermoen,68.861,18.3486,10.06,84,97,3.13,NO,1663501965
168,Ancud,-41.8697,-73.8203,5.68,89,96,2.45,CL,1663501967
169,Port Lincoln,-34.7333,135.8667,10.39,69,74,2.22,AU,1663501968
170,Necochea,-38.5473,-58.7368,13.9,87,99,3.44,AR,1663501969
171,West Wendover,40.7391,-114.0733,11.56,76,0,3.09,US,1663501970
172,Medea,36.2642,2.7539,30.64,31,94,4.26,DZ,1663501972
173,Luena,-11.7833,19.9167,32.84,19,95,2.38,AO,1663501973
174,Khandyga,62.6667,135.6,4.9,94,100,2.23,RU,1663501974
175,Jamestown,42.097,-79.2353,19.84,74,0,3.6,US,1663501975
176,Khorinsk,52.1657,109.7726,5.14,57,12,3.05,RU,1663501977
177,Tanout,14.9709,8.8879,32.43,38,87,1.26,NE,1663501978
178,Puerto Del Rosario,28.5004,-13.8627,27.86,57,40,5.66,ES,1663501979
179,Birao,10.2849,22.7882,28.45,66,92,2.19,CF,1663501981
180,Broome,42.2506,-75.833,17.42,90,0,2.57,US,1663501982
181,Karratha,-20.7377,116.8463,23.67,51,2,5.93,AU,1663501983
182,Bontang,0.1333,117.5,27.69,80,45,2.36,ID,1663501984
183,Paamiut,61.994,-49.6678,7.48,84,98,3.59,GL,1663501986
184,Maniitsoq,65.4167,-52.9,7.21,78,62,5.03,GL,1663501987
185,Souillac,-20.5167,57.5167,24.21,69,75,6.69,MU,1663501988
186,Sitka,57.0531,-135.33,12.07,93,100,0.6,US,1663501991
187,Fort-Shevchenko,44.5086,50.263,25.77,47,18,8.15,KZ,1663501992
188,Kavaratti,10.5669,72.642,27.65,76,93,5.78,IN,1663501994
189,Kharitonovo,61.4009,47.4978,15.57,62,46,4.31,RU,1663501995
190,Najran,17.4924,44.1277,38.36,13,66,6.2,SA,1663501996
191,Dingle,10.9995,122.6711,25.41,86,97,2.84,PH,1663501998
192,Iqaluit,63.7506,-68.5145,3.85,75,40,9.26,CA,1663502000
193,Sobreira,41.5237,-7.8023,27.75,26,90,2.1,PT,1663502001
194,Taman,45.2117,36.7161,24.18,76,51,6.63,RU,1663502002
195,Riyadh,24.6877,46.7219,40.08,9,0,4.6,SA,1663502003
196,Balaguer,41.7912,0.8109,26.2,64,92,3.63,ES,1663502005
197,Sao Joao Da Barra,-21.6403,-41.0511,19.05,67,2,5.0,BR,1663502006
198,Anadyr,64.75,177.4833,4.28,86,0,3.0,RU,1663502007
199,Rusape,-18.5278,32.1284,29.97,16,3,1.79,ZW,1663502009
200,Aasiaat,68.7098,-52.8699,2.66,97,100,1.3,GL,1663502010
201,Luderitz,-26.6481,15.1594,17.3,61,0,12.7,NA,1663502011
202,Sakakah,29.9697,40.2064,41.76,9,0,2.72,SA,1663502013
203,Codrington,-38.2667,141.9667,8.58,73,54,7.95,AU,1663502014
204,Keningau,5.3378,116.1602,22.93,98,98,0.54,MY,1663502015
205,Butaritari,3.0707,172.7902,27.78,76,5,6.13,KI,1663502016
206,Lalibela,12.0333,39.0333,22.74,40,95,3.36,ET,1663502018
207,Langarud,37.197,50.1535,31.03,59,0,4.05,IR,1663502019
208,Naraina,26.7833,75.2,33.57,35,0,3.54,IN,1663502020
209,Insch,57.3427,-2.6132,11.84,90,100,3.98,GB,1663502021
210,Baykit,61.67,96.37,8.65,95,100,1.76,RU,1663502023
211,Nevsehir,38.9167,34.6667,32.56,16,0,2.06,TR,1663502024
212,Nikolskoye,59.7035,30.7861,14.32,72,96,2.48,RU,1663502025
213,Boende,-0.2167,20.8667,31.34,47,99,0.67,CD,1663502026
214,Meulaboh,4.1363,96.1285,26.19,76,99,2.52,ID,1663502028
215,Socorro,31.6546,-106.3033,25.21,47,0,0.0,US,1663502029
216,Novyy Urengoy,66.0833,76.6333,13.36,47,42,6.45,RU,1663502030
217,Katsuura,35.1333,140.3,26.52,91,100,8.38,JP,1663502031
218,Jumla,29.2747,82.1838,17.76,93,88,1.23,NP,1663502033
219,Tumbagaan,5.3656,120.3139,27.94,76,69,2.46,PH,1663502034
220,Bonthe,7.5264,-12.505,23.57,94,100,4.19,SL,1663502035
221,Berdigestyakh,62.0989,126.6992,-1.79,92,47,3.28,RU,1663502036
222,Labuhan,-6.8844,112.2051,28.15,69,6,4.13,ID,1663502038
223,Sierpc,52.8568,19.6691,12.75,55,100,5.46,PL,1663502040
224,Saint Anthony,45.0205,-93.218,17.97,91,100,4.63,US,1663502041
225,Edgewater,28.9889,-80.9023,22.82,100,75,0.0,US,1663502042
226,Flinders,-34.5833,150.8552,15.66,61,8,2.24,AU,1663502044
227,Catia La Mar,10.6038,-67.0303,29.44,87,91,2.0,VE,1663502045
228,Berlevag,70.8578,29.0864,7.97,93,100,8.23,NO,1663502046
229,Eidsvag,62.7767,8.0668,12.03,85,100,2.46,NO,1663502047
230,Scarborough,54.2797,-0.4044,14.76,72,93,1.79,GB,1663502050
231,Torbay,47.6666,-52.7314,14.76,75,36,4.02,CA,1663502051
232,Tromso,69.6496,18.957,9.65,76,75,6.69,NO,1663502053
233,Tselinnoye,53.0833,85.6667,13.83,42,0,1.52,RU,1663502055
234,Bac Lieu,9.285,105.7244,26.72,82,94,4.88,VN,1663502056
235,Atikokan,48.7555,-91.6216,14.46,99,97,1.32,CA,1663502057
236,Amboise,47.4125,0.9827,18.97,52,0,2.57,FR,1663502059
237,Kirakira,-10.4544,161.9205,26.98,83,99,5.53,SB,1663502060
238,Salinopolis,-0.6136,-47.3561,28.22,71,36,5.44,BR,1663502061
239,Lianzhou,24.7811,112.3825,28.98,63,60,1.36,CN,1663502062
240,Lusambo,-4.9667,23.45,32.38,43,87,1.06,CD,1663502064
241,Beira,-19.8436,34.8389,30.05,58,20,7.72,MZ,1663502065
242,Santa Maria Del Oro,25.9333,-105.3667,16.56,81,78,0.66,MX,1663502066
243,Cosamaloapan,18.3667,-95.8,22.72,99,99,2.21,MX,1663502067
244,Geraldton,-28.7667,114.6,15.23,77,40,2.57,AU,1663502069
245,Arlit,18.7369,7.3853,36.65,25,90,0.63,NE,1663502070
246,Ponta Delgada,37.7333,-25.6667,26.95,78,20,3.6,PT,1663502071
247,Bemidji,47.4736,-94.8803,13.05,96,100,0.0,US,1663502072
248,Svetlaya,46.5389,138.3297,14.38,95,95,1.9,RU,1663502075
249,Bereda,43.2686,-7.5406,25.23,60,100,2.2,ES,1663502076
250,La Ronge,55.1001,-105.2842,6.14,93,20,0.51,CA,1663502077
251,Payo,-3.7508,103.6372,25.22,80,96,0.86,ID,1663502079
252,Chuy,-33.6971,-53.4616,15.42,74,100,5.75,UY,1663502080
253,Mogadishu,2.0371,45.3438,28.93,70,40,7.72,SO,1663502081
254,Inhambane,-23.865,35.3833,28.99,65,0,9.39,MZ,1663502082
255,Mehamn,71.0357,27.8492,7.95,93,75,7.72,NO,1663502085
256,Naryan-Mar,67.6713,53.087,11.92,78,100,2.8,RU,1663502087
257,Ambon,-3.6954,128.1814,27.91,13,75,2.06,ID,1663502089
258,Saldanha,-33.0117,17.9442,17.03,53,3,5.84,ZA,1663502090
259,Havre-Saint-Pierre,50.2334,-63.5986,6.0,60,5,9.76,CA,1663502092
260,Yumen,40.2833,97.2,21.94,20,100,4.82,CN,1663502093
261,Evanston,42.0411,-87.6901,21.73,75,87,0.89,US,1663502094
262,Ratnagiri,16.9833,73.3,27.6,77,17,2.88,IN,1663502096
263,Faanui,-16.4833,-151.75,25.56,73,2,8.39,PF,1663502097
264,Dubbo,-32.25,148.6167,11.07,82,100,2.06,AU,1663502098
265,Irtyshskiy,58.3333,68.1333,15.14,68,100,4.94,RU,1663502100
266,Pangnirtung,66.1451,-65.7125,4.35,59,1,1.2,CA,1663502101
267,Kaeo,-35.1,173.7833,15.74,76,100,5.37,NZ,1663502102
268,Nueva Helvecia,-34.3,-57.2333,13.66,72,100,6.12,UY,1663502103
269,Castro,-24.7911,-50.0119,12.5,74,3,5.81,BR,1663502106
270,Vao,-22.6667,167.4833,22.65,81,32,7.47,NC,1663502107
271,Makakilo City,21.3469,-158.0858,25.18,83,75,1.54,US,1663502108
272,Konza,-1.7426,37.1294,24.84,37,78,4.62,KE,1663502110
273,Nanortalik,60.1432,-45.2371,7.83,75,73,3.35,GL,1663502111
274,Kichmengskiy Gorodok,59.9816,45.7854,15.56,53,39,4.12,RU,1663502112
275,Bagotville,-28.9833,153.4167,16.94,58,80,3.54,AU,1663502114
276,Vakhrushev,48.9833,142.9667,12.34,95,99,0.41,RU,1663502115
277,Westport,41.1415,-73.3579,20.97,89,22,1.79,US,1663502116
278,Ouesso,1.6136,16.0517,26.47,76,97,2.06,CG,1663502118
279,Two Rivers,44.1539,-87.5693,19.47,94,0,0.89,US,1663502119
280,Pitimbu,-7.4706,-34.8086,26.33,71,47,6.35,BR,1663502120
281,Praia Da Vitoria,38.7333,-27.0667,25.14,78,20,3.55,PT,1663502122
282,Yarmouth,41.7057,-70.2286,21.16,88,20,4.12,US,1663502123
283,Nuevo Progreso,23.1667,-97.95,24.15,80,30,1.18,MX,1663502124
284,Pevek,69.7008,170.3133,0.39,91,100,8.92,RU,1663502127
285,Panalingaan,8.7842,117.4231,26.84,83,82,2.16,PH,1663502128
286,Ust-Omchug,61.15,149.6333,2.42,61,63,2.73,RU,1663502129
287,Balad,34.0164,44.1453,43.22,7,0,3.1,IQ,1663502131
288,Aksarka,66.5606,67.7975,8.51,92,99,5.35,RU,1663502132
289,Dashitou,43.3067,128.5114,9.62,84,0,3.25,CN,1663502133
290,Viedma,-40.8135,-62.9967,8.94,91,100,10.12,AR,1663502134
291,Corrente,-3.7367,-43.3394,29.8,52,18,2.98,BR,1663502136
292,Poum,-20.2333,164.0167,23.86,73,3,3.77,NC,1663502137
